codbarra,produto,preco
7898956544654,"4G FOLIC 0,355 MCG ACIDO FOLICO",52.01
7896181911999,ALENIA 12+400MCG CAP DURA PO INAL CT FR X 60+INAL,135.51
7896181911784,ALENIA 12+400MCG CAP DURA PO INAL CT FR X 60 REFIL,107.52
7893454147581,DES.BANHO BANHO ROLLON CLASS FR 55ML,8.1
7893454147598,DES.BANHO BANHO ROLLON OCEAN FR 55ML,8.13
7893454147604,DES.BANHO BANHO  ROLLON SEM / PERF FR 55ML,8.18
7897917003520,BOLDO BELFAR CX 60 FLAC X 10ML,214.19
7897917003513,BOLDO BELFAR CX 12 FLAC X 10ML,48.19
7897947604582,CALAMED LOCAO FR 100ML,21.11
7891106913935,CICLOPRIMOGYNA C/21 DRG,12.26
7898495606042,CLARICURE BG CREME 60G,40.34
7896015520380,CLAVULIN 500MG CX 30 COMP,209.8
7896672201691,CLENIL NASAL SPRAY 15ML,50.15
7898495601474,CLINARA OLEO HIDRATANTE FR 100ML,48.23
7898495601481,CLINARA OLEO HIDRATANTE FR 200ML,80.5
7898158697073,CLINERIZE ENX BUCAL FR 300ML SB MENTA/HORTELA,15.11
7898495601412,CLINERIZE ENX BUCAL CUID TOTAL 6 EM 1 FR 300ML SB HORT,15.19
7896862920319,COMPLEXO B CX 50 DRG,35.05
7897732600089,DIPIDOR 500MG SOL OR FR GTS 10ML,5.14
7893454137025,ESMALFORT FR 8ML (+22% IPI),24.18
7896094912595,ESTOMAZIL PAST MAST C/10 LIMAO,5.93
7896472503544,GINKOLAB 120MG CX 30 COMP,74.14
7898100243570,GRIPALCE 4 CAP,3.03
7898495606851,HETOX FLAC 10ML,3.07
7896622302317,HIDRAPLUS SOLUCAO FRAMB 2X25ML,14.68
7897732609105,INGLESA SOBRAL SOL OR CX 12 FR 430ML+CM,27.85
7898495605076,LISOTOX FLAC 10ML,3.33
7896802502452,MALVOL SOLUCAO 100ML,10.27
7896622303802,METRONIDAZOL+NISTATINA 100MG+20000UI CREM VAG BG 50G+10APLIC,32.37
7898168731965,NARCARICINA 100MG CX 30 COMP,38.26
7891058019099,NOVALGINA 500MG C/4 COMP,5.1
7898948648391,OGESTAN ANTIESTRIAS BG DE 200G,142.84
7898172355836,OLEO DE LINHACA 1000MG 120 CAPS,72.35
7896472500109,OLEO MINERAL FR 100ML,20.16
7898014565249,PANTOCLER CX 12 FLAC SB ABACAXI,35.87
7898495609036,PROBENTOL DERMA HAIR SPRAY FR PET 50ML,29.53
7898495603966,PROBENTOL DERMA BG X 20G,20.12
7891317497842,"PROSSO 250+2,5MG CX 30 COMP",86.65
7893454136981,SENSIPEL FR X 100ML (+22% IPI),14.68
7893454136974,SENSIPEL FR X 250ML (+22% IPI),33.65
7896009400049,SENSODYNE CREME DENTAL ORIGINAL BG 50G,10.1
7897129304149,SOLIALE GEL CREME FPS 50 BISN. COM 50 G,75.33
7897732604865,SPEKLIV 2% 100 ML + COP MED X 10ML,22.19
7896622300849,TONICO BLUMEN FR 500ML,23.62
7898100243945,TYFLEN 750MG C/10 COMP,5.57
7891010249267,TYLENOL DC 500MG 4 COMP REV,5.68
7896094208704,UMIDITA GESTANTE FR 200ML,67.01
7898495604987,UREMAX 10 FRASCO PLASTICO 150G,30.17
6971770048278,VAC ADS DIFT+TETANO E PERTUSSIS- ACELULAR -AD 1FR X 1 DOSE X,141.6
7896523207735,CIMEGRIPE DIA C/10 CP,13.2
7891010607135,ABS SEMP LIV NOTURNO C/ 16 UNIDACDES,18.05
7897947607842,ACNEZIL KIT C/3 ITENS,50.3
7896089500240,AGUA LINDOYA VERAO 240ML,1.58
7898042157461,ALCACHOFRA C/ 60 CAPSULAS,23.43
7898906459052,ALGODAO APOLO 50GRAMAS,3.47
7898136150279,ALGODAO NATHALYA 50G,4.19
7898042159519,AMORA MIURA 500ML,17.1
7898172860071,ATAD CREPE NEVE 20CM,9.54
7898172860057,ATADURA 12CM NEVE,5.41
7896438200296,BCAA 2400MG 60 TABLETES PROB,55.26
7898276061282,BCAA  C/ 60 TABLETS,73.2
7898042159991,BERINJELA  C/ 60 CAPS,25.42
7896902223486,CARBONATO DE CALCIO 40G FARMAX,6.22
7898483530878,CHA VERDE 220G UNILIFE,30.44
7891301018435,CHUPETA BABYGO 1843,11.36
7891301018459,CHUPETA BABYGO 1845,11.19
7798140251934,CICATRICURE BEAUTY CARE 50 GRAMAS,37.12
7898483537402,"CLORETO DE MAG . P,A. 33 GR.",7.09
7898483537365,COENZIMA COQ-10 100MG C/60CPS,65.24
7898852740051,COLAGENO 500MG C/120CPS,34.22
7898172357762,CREATINA 500MG C/ 120CAPS,49.01
7898483533305,CREATINA PO  200 GRAMAS,37.38
7898483533312,CREATINA UNILIFE-500MG C/180,64.06
7899470803067,EPALIV 150ML NATULAB,46.56
7898060039008,"ESPARADRAPO 25MM X0,9M SANFARMA",3.28
7896877601449,FD GERIATRICA SUAVIDADE M,44.47
7896877600589,FD TOQUINHO ECONOMICO TAM M,49.27
7896877600602,FD TOQUINHO EG C/70,49.33
7896877600596,FD TOQUINHO PACOTAO G C/80,49.14
7898042153814,CHA DA  VIDA  60 CAPSULAS,25.02
7898566781463,GEL LIPO REDUTOR MARY LIFE,25.1
47400179660,CARGA GILLETE MACH 3 C/4 UNI,38.24
7991801800841,GINSENG COREANO / 60 CAPSULAS,30.36
7897214700016,GRAMPOS DARMA C/100 N 5,5.59
7898157301308,INALADOR ULTRASSONICO MD 3000,270.08
7898133130281,IODENAX 20MG/ML XP 100ML,18.84
7896061951015,LENCO PAPEL SOFTYS C/ 75,5.23
7896108006104,LIPOFIM 1000 C/90,109.22
7891010800543,LISTERINE 500ML WHITENING,17.2
7897000800548,"LYSOFORM ORIGINAL,1000ML",14.64
7897000800180,LYSOFORM BRUTO SUAVE ODOR 500ML,7.99
7898483533237,MALTO DEXTRINA 1 KL-TANGERINA,30.44
7898483531011,MALTO DEXTRINA 1 KL GUAR/ACAI,29.98
7898183120089,MENOPAX C/60CPS,25.45
7899470805658,NASOJET MARIS 100ML BABY,41
7896641810213,NEOSALDINA C/1,1.48
7891010510961,NEUTROGENA  SUN FRESH FPS 15,27.15
7898216367351,PASTA DAGUA CALAMINA 80G,20.35
41333001005,PILHA DURACELL AA C/2,9.41
41333666792,PILHA DURACELL AAA  8+4 PALITO,30.43
41333665665,PILHA DURACELL C/ 4 UNI,14.08
41333000992,PILHA DURACELL C2 COM 2 UNIDADES,24.47
7896006212201,PROCTS H 20G UQ,51.99
7991801801367,QUITOSANA CAPS C/ 60CAPS,34.08
7898483533169,RETINOL A 500MG C/ 60CAPS,32.26
7898483537495,SAL ROSA DO HIMALAIA 250G,26.21
7896830000784,TALCO MENTOLADO 35G ADV,3.76
7899828211261,TERMOMETRO FIGITAL INCOTERM PEQ,20.13
7898226050076,TERMOMETRO MEDFEBRE OVAL MERCURIO,17.49
7896788000126,TIRA LEITE SANITY TRADICIONAL,44.24
7898852740068,TRIBULUS TERRESTRIS 500MG 100C,30.09
78900806,VALDA TABLETE 4G,0.69
78904231,"VALDA -XILITOL 3,5 GRAMAS",2.02
3337872414527,ANTHELIOS XL 70 FPS  50ML,57.42
7898622840066,FD SONHO DE BEBE  TAM.M C/24,11.62
7898622840080,FD SONHO DE BEBE TAM .EG / 20 UN,11.61
7898622840035,FD SONHO DE BEBE TAM.G C/ 80,43.24
7898902180554,ULTRASEPT KIT 360ML120ML ES,46.19
7896108008870,MEGAPOLI 90+10 COMP.,62.27
7898955522646,REIDRALYTE SACHE UVA 29GR,22.46
7898955522349,REIDRALYTE SOL SB UVA 450ML,18.25
7896230302044,AZUL DE METILENO 30ML C 6 ADV,4.5
7899732100446,MINOTAURO 300G,99.44
7991801800568,CACTINEA 60 CAPS,32.31
7898937898554,CHROMIUM PICOLINATE C/100CAPS,37.36
7898172355706,PICOL.CROMO 250MG C/ 100 CAPS,35.24
7898622840127,FD SONHO DE BEBE MINI C/ 6,4.55
7898622840110,FD SONHO DE BEBE MINI C/ 7,4.8
7898622840103,FD SONHO DE BEBE MINI C/ 8,4.55
7898622840165,FD SONHO DE BEBE JUMBO C/ 40,24.12
7899706138352,ANTHELIOSXL PROTECT 40GR,53.95
7891010814977,HID NEUTR NORWEG ANTI-IDADE P/,43.32
742832304764,BACIDERMINA PDA 10GRS GREENPHARM,10.1
7898994475125,FAST TEST TIRA,23.23
7898994475118,FAST TEST PLUS,23.44
7898946058277,ARNICA SPORT GEL 200ML,15.38
7501210193610,PRE TREINO 120 CAPS,45.38
7506339391329,FRALDA PAMPERS TAM G SUPERSEC,26
7506339391305,FRALDA PAMPERS TAM P SUPERSEC,26.46
7506339391312,FRALDA PAMPERS TAM P,26.38
7898193587247,FRALDA FEROZ CONFORT PLUS TAM G,11.28
7898193587230,FRALDA FEROZ CONFORT PLUS TAM M,11.07
7898193587254,FRALDA  FEROZ CONFORT PLUS EG,11.41
7896007546763,FRALDA TURMA DA MONICA TAM G,25.21
7896230300286,ALCOOL 70%,4.67
7896902211858,VASELINA SOLIDA  70GRAMAS,13.47
7896902211780,VASELINA LIQUIDA  100ML,5.86
7898157300080,BENGALA C/ REGULAGEM BRONZE,65.45
7898363333193,ALCOOL ETILICO 70% 1000ML,10.17
76660008649,FIXODENT 39 GR,35.04
76660008663,FIXODENT ORIGINAL 68G,35.35
7896354901727,AÇUCAR MASCAVO 1KL,19.55
7898152460512,ARNICA MONTANA SOLUCAO ORAL 30ML,36.38
7898298360080,CAPIM CIDREIRA 10 ENVELOPES,4.89
7898298360097,CARQUEJA  CHA 10 ENVELOPES,4.9
7898298360356,CHA PRETO 10 ENVELOPES,4.74
7898298360653,CHA PRETO C/ GENGIBRE E CANELA,4.64
7898298360127,BOLDO CHA  10ENVELOPES,4.61
7898298360226,GENGIBRE CRAVO E CANELA,5.11
7896653707679,BOLINHA DOCE DE LEITA C/ COCO,10.29
7898483531851,MACA  PERUANA 120 CAPS,64.18
7898917294666,MACA 60CAPS,32.01
7898905356567,OLEO DE COCO 200ML,28.12
7898483530694,FLOR DE HIBISCO 100GRAMAS,18.32
7898937898493,COLGENO SABOR FRUTAS,49.27
7899468504907,MAGNESIO DIMELATO,47.06
7898909332734,ALGODAO USER 25 GRAMAS,3.32
7898172356116,OMEGA 3 C/ 120 CAPS,50.16
7898483533107,BIOTINA B7 C/ 60 CAPS,37.11
7898909332123,CURATIVOS UDER  C/ 10,3.29
7898157492501,MANTEIGA DE CACAU,2.65
7898909332345,LENÇO UMEDECIDOS C/ 70 UNIDADES,3.03
7898909332956,USER IT CURATIVOS C/ 35 UNIDADES TRANSPARENTE,6.3
7898909332130,USER ITS CURATIVOS C/ 35 UNIDADES COR DA PELE,5.07
7898483538027,OMEGA BROTHERS 1000 MG C/ 180 CAPS,65.15
7899621800006,MULTI OMEGA C60 CAPS,52.41
7898172355553,MAXX CARNITINE C 60 CAPS,56.48
8801038575186,APAR. CONFORT LAMIX,5.05
70330731806,APAR BIC SOLEIOL,9.27
70330728509,APAR BIC SENSITIVE PCT  C/ 7 UNIDADES,10.16
7898483533329,BCAA C/180 CAPS,55.1
7991801800469,CLORETO DE MANESIO P.A. C/ SUCUPIRA,33.13
7898937898257,OLEO DE CARTAMO C/ 60 CAPS,40.16
7896193216037,FITA P/ FRALDA ADERFRALDA BRANCA,6.42
7897214700023,GRAMPO DARMA N 5,6.06
7898909332871,LENÇO UMDECIDOS REFIL USER IT C/ 400UNIDADES,10.98
7898909332970,LENÇO UMDECIDOS REFIL USER IT C/ 100 UNIDADES,13.08
7896939807086,LIXA CHARMOSA 708,7.02
7898509766335,GEL ANTISEPTICO  70ML,8.03
7898314190110,ALCOOLGEL HI CLEAN 500ML ALGAS,28.22
7898314190103,ALCOOL HI CLEAN GEL 70ML ALGAS,10.35
7896939851072,BUCHA DE NYLON RAFAINI,5.85
7891060846379,TESOURA P/UNHA MUNDIAL (BEBE),10.37
7898940257690,PROTETOR DE CERDAS C/ 4 UNIDADES,6.57
7896381300227,MAMADEIRA PITUCA 240ML,13.08
7896381300753,CHUPETA PITUCA REF:811RS,8.65
7896381300746,CHUPETA PITUCA REF:811AZ,8.67
7896381300876,CHUP SUPER ORTO TRITAN PITUCA,7.04
7896381300708,CHUPETA PITUCA REF:981AZ,10.26
7896675908641,DEO COLONIA ALFAZEMA 120ML,11.83
7896279114691,COND. MURIEL PROGRESSIVA CASEIRA 300ML,16.04
7896092000010,DES. DAP CREME 55 GR,12.34
7896092000072,DES. DAP ROLL -ON 55ML,14.16
7897158724611,KIT SH+COND.GOTISSIMA ALGA MARINHAS,12.38
7897158724635,KIT SH+COND.GOTISSIMA CONFREI SERENO,12.36
7897158724604,KIT SH+COND.GOTISSIMA GOTAS DE ALFAZEMA,12.35
7897158724642,KIT SH+COND.GOTISSIMA ORVALHO DE JOJOBA,12.29
